Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,8.17357455831703E-06,-8.19433772981432E-07,-0.00300170877774879,0,0,0,1.03985350556727,0.0013074898058424,3.36188956883991E-10,1.60521989431855E-07,0.00339179073259683,5.51431836645588E-09,0.00441758469225806,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/Body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/Body.STL,,"4LegBody-1;Leg_Assembly_Long-4/Servo_90DegConnector-1/ServoHolder90Deg-2;Leg_Assembly_Long-4/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector-1/ServoHolder90Deg-1;Leg_Assembly_Long-3/Servo_90DegConnector-1/ServoHolder90Deg-2;Leg_Assembly_Long-3/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-3/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-3/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-3/Servo_90DegConnector-1/ServoHolder90Deg-1;Leg_Assembly_Long-2/Servo_90DegConnector-1/ServoHolder90Deg-2;Leg_Assembly_Long-2/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector-1/ServoHolder90Deg-1;Leg_Assembly_Long-2/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector-1/ServoHolder90Deg-2;Leg_Assembly_Long-1/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector-1/ServoHolder90Deg-1",Body_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR1_Servo,6.63024617987423E-05,0.00017480111947784,-0.0318010030269155,0,0,0,0.0230007365895397,2.85194124414614E-06,-8.41838748723463E-11,-1.37683480361865E-09,3.38038527155297E-06,2.66636683877571E-09,1.0750315407539E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FR1_Servo.STL,1,1,1,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FR1_Servo.STL,,"Leg_Assembly_Long-2/Servo_90DegConnector-1/ServoArm-5;Leg_Assembly_Long-2/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector-1/ServoArm-4;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/ServoHolder90Deg-2;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/ServoHolder90Deg-1",FR1_CS,FR1_AX,FR1,revolute,0.071,-0.05,-0.0488561341528267,0,0,0,Body,1,0,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
FR2_Servo,9.14719030635502E-06,0.000228979303958821,-0.044087748012233,0,0,0,0.0232882918603983,3.65596349321669E-06,-8.28434828683659E-11,-1.37858113387024E-09,4.08685344603095E-06,2.66811008456549E-09,1.12460835432337E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FR2_Servo.STL,1,1,1,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FR2_Servo.STL,,"Leg_Assembly_Long-2/Servo_90DegConnector_long-2/ServoArm_Long-8;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-2/Servo_90DegConnector_long-2/ServoArm_Long-7;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/ServoHolder0Deg-1;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/ServoHolder0Deg-2",FR2_CS,FR2_AX,FR2,revolute,0,0,-0.0474161341528266,0,0,0,FR1_Servo,0,-1,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
FR3_Servo,2.69406019715035E-09,7.81684544896785E-05,-0.0359209968856328,0,0,0,0.0167842210685734,2.29107229796221E-06,1.40834939749781E-13,-1.41793132434197E-13,2.61195222976322E-06,1.24376477992814E-12,1.24659676057817E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FR3_Servo.STL,1,1,1,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FR3_Servo.STL,,"Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/ServoArm_Long-3;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/ServoArm_Long-4;Leg_Assembly_Long-2/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-2/Foot_Assembly-1/foot_end-1;Leg_Assembly_Long-2/Foot_Assembly-1/foot_mid-1;Leg_Assembly_Long-2/Foot_Assembly-1/foot_end-2",FR3_CS,FR3_AX,FR3,revolute,0,0,-0.0624161341528267,0,0,0,FR2_Servo,0,-1,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
FL1_Servo,6.63024617987562E-05,0.000174801119477853,-0.0318010030269155,0,0,0,0.0230007365895397,2.85194124414614E-06,-8.41838748722794E-11,-1.37683480361837E-09,3.38038527155296E-06,2.66636683877604E-09,1.0750315407539E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FL1_Servo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FL1_Servo.STL,,"Leg_Assembly_Long-1/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector-1/ServoArm-4;Leg_Assembly_Long-1/Servo_90DegConnector-1/ServoArm-5;Leg_Assembly_Long-1/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/ServoHolder90Deg-2;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/ServoHolder90Deg-1",FL1_CS,FL1_AX,FL1,revolute,0.071,0.05,-0.0488561341528267,0,0,0,Body,1,0,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
FL2_Servo,9.14719030635502E-06,0.0002289793039588,-0.044087748012233,0,0,0,0.0232882918603984,3.65596349321669E-06,-8.28434828684451E-11,-1.37858113387041E-09,4.08685344603095E-06,2.66811008456588E-09,1.12460835432337E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FL2_Servo.STL,1,1,1,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FL2_Servo.STL,,"Leg_Assembly_Long-1/Servo_90DegConnector_long-2/ServoArm_Long-8;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-1/Servo_90DegConnector_long-2/ServoArm_Long-7;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/ServoHolder0Deg-1;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/ServoHolder0Deg-2;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1",FL2_CS,FL2_AX,FL2,revolute,0,0,-0.0474161341528266,0,0,0,FL1_Servo,0,-1,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
FL3_Servo,2.69406022490593E-09,7.81684544896993E-05,-0.0359209968856328,0,0,0,0.0167842210685734,2.29107229796221E-06,1.40834939384918E-13,-1.41793131343822E-13,2.61195222976322E-06,1.24376477811362E-12,1.24659676057817E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FL3_Servo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/FL3_Servo.STL,,"Leg_Assembly_Long-1/Foot_Assembly-1/foot_end-1;Leg_Assembly_Long-1/Foot_Assembly-1/foot_mid-1;Leg_Assembly_Long-1/Foot_Assembly-1/foot_end-2;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/ServoArm_Long-4;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-1/Servo_0DegConnector_Long-1/ServoArm_Long-3",FL3_CS,FL3_AX,FL3,revolute,0,0,-0.0624161341528267,0,0,0,FL2_Servo,0,-1,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
BR1_Servo,6.63024617987423E-05,0.000174801119477819,-0.0318010030269155,0,0,0,0.0230007365895397,2.85194124414614E-06,-8.41838748724021E-11,-1.37683480361916E-09,3.38038527155296E-06,2.66636683877556E-09,1.0750315407539E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/BR1_Servo.STL,1,1,1,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/BR1_Servo.STL,,"Leg_Assembly_Long-4/Servo_90DegConnector-1/ServoArm-5;Leg_Assembly_Long-4/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector-1/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector-1/ServoArm-4;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/ServoHolder90Deg-1;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/ServoHolder90Deg-2;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1",BR1_CS,BR1_AX,BR1,revolute,-0.071,-0.05,-0.0488561341528267,0,0,0,Body,1,0,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
BR2_Servo,9.14719030641054E-06,0.000228979303958814,-0.0440877480122329,0,0,0,0.0232882918603984,3.65596349321669E-06,-8.28434828684524E-11,-1.37858113386765E-09,4.08685344603095E-06,2.66811008456746E-09,1.12460835432337E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/BR2_Servo.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/BR2_Servo.STL,,"Leg_Assembly_Long-4/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/ServoArm_Long-8;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-4/Servo_90DegConnector_long-2/ServoArm_Long-7;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/ServoHolder0Deg-1;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_B_DUMMY-1;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_M_DUMMY-1;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_CASE_F_DUMMY-1;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/ServoHolder0Deg-2",BR2_CS,BR2_AX,BR2,revolute,0,0,-0.0474161341528266,0,0,0,BR1_Servo,0,-1,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
BR3_Servo,2.69406021102814E-09,7.81684544896924E-05,-0.0359209968856328,0,0,0,0.0167842210685734,2.29107229796221E-06,1.40834939459237E-13,-1.41793130548659E-13,2.61195222976322E-06,1.24376478015691E-12,1.24659676057817E-06,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/BR3_Servo.STL,1,1,1,1,0,0,0,0,0,0,package://WalkBot4Leg_Long.SLDASM/meshes/BR3_Servo.STL,,"Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/ServoArm_Long-3;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_HORN_IDLE2_DUMMY-1;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/XL,XC-330-1/DC15_A01_HORN_DUMMY-1;Leg_Assembly_Long-4/Servo_0DegConnector_Long-1/ServoArm_Long-4;Leg_Assembly_Long-4/Foot_Assembly-1/foot_end-1;Leg_Assembly_Long-4/Foot_Assembly-1/foot_mid-1;Leg_Assembly_Long-4/Foot_Assembly-1/foot_end-2",BR3_CS,BR3_AX,BR3,revolute,0,0,-0.0624161341528267,0,0,0,BR2_Servo,0,-1,0,0.52,10.89,-1.5708,1.5708,,,,,,,,
